Distance,Competitor,Date_of_birth,Nationality,Venue,Date
74.08,Jürgen SCHULT,1960-05-11,GDR,Neubrandenburg (GDR),1986-06-06
73.88,Virgilijus ALEKNA,1972-02-13,LTU,Kaunas (LTU),2000-08-03
73.38,Gerd KANTER,1979-05-06,EST,Helsingborg (SWE),2006-09-04
72.02,Gerd KANTER,1979-05-06,EST,"Salinas, CA (USA)",2007-05-03
71.88,Gerd KANTER,1979-05-06,EST,"Salinas, CA (USA)",2008-05-08
71.86,Yuriy DUMCHEV,1958-08-05,URS,Moskva (URS),1983-05-29
71.86,Daniel STÅHL,1992-08-27,SWE,Bottnaryd (SWE),2019-06-29
71.84,Piotr MAŁACHOWSKI,1983-06-07,POL,"Blankers-Koen Stadion, Hengelo (NED)",2013-06-08
71.7,Róbert FAZEKAS,1975-08-18,HUN,Szombathely (HUN),2002-07-14
71.64,Gerd KANTER,1979-05-06,EST,Kohila (EST),2009-06-25
71.56,Virgilijus ALEKNA,1972-02-13,LTU,Kaunas (LTU),2007-07-25
71.5,Lars RIEDEL,1967-06-28,GER,Wiesbaden (GER),1997-05-03
71.45,Gerd KANTER,1979-05-06,EST,"Chula Vista, CA (USA)",2010-04-29
71.4,Daniel STÅHL,1992-08-27,SWE,"Bottnaryds IP, Bottnaryd (SWE)",2021-07-10
71.37,Daniel STÅHL,1992-08-27,SWE,"Sollentunavallen, Sollentuna (SWE)",2020-08-10
71.32,Ben PLUCKNETT,1954-04-13,USA,"Eugene, OR (USA)",1983-06-04
71.29,Daniel STÅHL,1992-08-27,SWE,Sollentuna (SWE),2017-06-29
71.26,John POWELL,1947-06-25,USA,San José (USA),1984-06-09
71.26,Rickard BRUCH,1946-07-02,SWE,Malmö (SWE),1984-11-15
71.26,Imrich BUGÁR,1955-04-14,TCH,San José (USA),1985-05-25
71.25,Róbert FAZEKAS,1975-08-18,HUN,"CM, Madrid (ESP)",2002-09-21
71.25,Virgilijus ALEKNA,1972-02-13,LTU,Turnov (CZE),2008-05-20
71.18,Art BURNS,1954-07-19,USA,San José (USA),1983-07-19
71.16,Wolfgang SCHMIDT,1954-01-16,GDR,Berlin (GER),1978-08-09
71.14,Ben PLUCKNETT,1954-04-13,USA,"Berkeley, CA (USA)",1983-06-12
71.14,Anthony WASHINGTON,1966-01-16,USA,"Salinas, CA (USA)",1996-05-22
71.12,Virgilijus ALEKNA,1972-02-13,LTU,Zürich (SUI),2000-08-11
71.08,Ben PLUCKNETT,1954-04-13,USA,"Eugene, OR (USA)",1983-06-04
71.08,Virgilijus ALEKNA,1972-02-13,LTU,Rethymno (GRE),2006-07-21
71.06,Luis Mariano DELIS,1957-12-06,CUB,La Habana (CUB),1983-05-21
71.06,Lars RIEDEL,1967-06-28,GER,Zürich (SUI),1996-08-14
71,Rickard BRUCH,1946-07-02,SWE,Malmö (SWE),1984-10-14
70.99,Virgilijus ALEKNA,1972-02-13,LTU,Stellenbosch (RSA),2001-03-30
70.98,Mac WILKINS,1950-11-15,USA,Helsinki (FIN),1980-07-09
70.98,Art BURNS,1954-07-19,USA,"Eugene, OR (USA)",1984-07-21
